'SplitZero.Restriction.metric_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.return_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.return_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.action_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.deficit_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.determinant_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.retained_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.representative_section' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.representative_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.representative_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.source_restriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.relation_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.relation_observations' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.relation_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.Restriction.relation_cocycle' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.hasSum_remainder' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.remainder_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.double_remainder_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.sharp_remainder_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.adaptive_scalar' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.prefix_as_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.prefix_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.sharp_trace_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.adaptive_trace_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.powerTrace_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'SplitZero.RestrictionLog.exists_stopping_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
