beta,gamma,abs_Z
-0.15817555982069768545,6.6140547483137114992,4.08e-20
-0.66337686283385035699,9.7450381692524727191,2.61e-20
0.28844837033875783991,12.13753028197879085,1.28e-18
0.54306884072582709337,15.704048267909062575,7.74e-19
-0.96796748866465563141,17.681656479444332581,7.95e-19
0.37867762174258733351,19.767016639937013885,1.55e-18
0.16100282952131404679,22.129937515868079757,4.39e-19
0.35154578386265096814,24.677007419335303898,1.39e-18
-0.10364263833390835029,26.636989268548706668,5.41e-19
-0.65750886876011920652,28.314925685198334276,1.11e-18
0.70907212380496440175,29.948169811652646269,1.12e-18
0.52473419203945683836,32.98576543046262518,1.04e-18
-0.095814758702682537572,34.589774435543195443,1.14e-18
-0.40904900781749957218,36.08985060667421509,4.0e-19
0.29097787239145570784,37.966723697005311543,1.22e-18
0.23183500812216744665,39.70848657540450732,2.35e-18
0.28363616876030117458,41.77448965311476558,1.65e-18
0.66981988833733974454,43.759660228333952666,2.28e-18
-1.0565705750446469848,45.335146958369374913,4.81e-18
0.45348831761465272817,46.916763346414148448,1.3e-18
0.38300753198944478388,48.333579749209459093,4.97e-19
0.53460337507826837973,50.847365820656452473,2.67e-18
-0.067701801961597752425,52.51880295554721722,1.28e-18
0.0013521125195561174227,53.574941855917335294,3.82e-19
-0.19584467998193691295,55.789795288801045147,2.25e-19
0.25781086109252532545,56.607943580201154672,1.66e-18
0.51038464668116673699,58.512512701613743432,3.59e-18
0.64666373266539957195,61.036907906195354053,7.74e-19
-0.012323827735513121315,62.026755512062503533,2.07e-19
-0.87790635665653736052,63.603551196151038568,1.32e-18
0.66823350347465536,64.894070967703441756,2.24e-18
0.46440784600275829094,66.792423858405013264,7.53e-19
0.093869629589660621892,68.605095745431562604,9.91e-19
0.43732044088823943547,69.99177338225730929,1.15e-18
0.24952141462427602154,71.839572969678807299,2.39e-18
-0.52947188997587893598,72.958501539159812844,1.96e-18
0.1166216914490893683,74.54120319262439792,6.31e-19
0.5790633311570636116,75.571425705937245358,1.47e-18
0.48181259076126051483,77.979370185712380151,3.33e-18
0.65357372434892823019,79.506429117144332934,3.99e-19
-0.86744162599911580355,80.706515156908384106,1.06e-17
0.39354304873717323983,82.199166967070012138,2.91e-18
0.090050891784551067533,83.637570950067355024,3.2e-19
0.43202001636587498225,84.897183806014036689,2.15e-18
0.32799247891140843537,86.903119104607637706,6.55e-19
0.31202191194661351031,88.287215019944161488,1.4e-18
0.4870297415187538031,89.771789712414838004,1.15e-18
-0.97381679988685980057,91.100312859614846572,1.51e-18
0.51558184996629629679,92.475513800413776014,4.09e-19
0.53655365020840801598,93.567996658396054195,1.94e-18
0.53657732549877685436,95.956885112186892785,2.5e-18
0.12488716253930929167,97.122910927354695033,1.25e-18
0.2420349464453228075,98.547711877352205881,7.07e-19
-0.44021551846561394057,99.616132288497731502,3.22e-18
0.51548823397131343677,101.23240800393199801,1.8e-17
-0.071315886791143165317,102.63981112017087375,2.24e-17
0.5238501961249927142,103.68266774963588785,2.67e-17
0.55954116180736456735,105.89141509679166368,3.28e-17
0.55653200881734632812,107.21627376762013328,2.09e-17
-0.79218564145825527149,108.44007996676176153,5.03e-18
-0.055353811665547778485,109.67482596829176395,6.97e-19
0.67371680291210858614,110.75940918079091085,1.89e-17
0.39749293917382219874,112.54143349390004673,4.6e-17
0.47156512935929532046,114.25543705285089851,1.13e-17
-0.059888067505635479161,115.68097616458993941,1.81e-17
0.36566118937510948722,116.47799860745541975,1.44e-18
0.30176906871796548177,118.72097411680378245,2.49e-18
-0.5750573275764326075,118.92625132179753832,2.01e-17
0.63328413247174592862,120.65208531604841244,1.87e-17
0.38986849004628674474,122.09342043744265925,2.54e-17
0.49319376168270006108,124.24191935622987055,1.15e-17
0.46074017450016594546,124.86823504941619424,8.52e-18
-0.98294596979165882573,126.55510916842778025,2.03e-16
0.56814238691856115816,127.45474022627625614,2.06e-17
0.43243183395106601506,129.1582518118407637,2.26e-18
0.28148586034996940845,130.2218206215665249,2.66e-17
0.25414504904530284348,131.94083292801084505,5.44e-18
0.43727676609111633868,133.12646953770632849,1.64e-17
0.57973942497895972363,134.83393649754587455,5.47e-18
-0.49928579967524953726,135.84911130439022745,1.23e-17
-0.2711912042104419682,137.21741923975185845,4.26e-17
0.54236025012464992576,138.09066798105798009,2.02e-17
0.56607406487426514181,139.4565862272392542,4.47e-17
0.70357142008796929972,141.67887638398368587,4.01e-17
0.10422452889551823412,142.9853827053717358,1.06e-17
-0.0968341213454627323,143.62821385798961277,8.87e-18
-0.096923572766526517059,145.22794034376338729,1.59e-17
0.25125252361759003657,146.25098132994702017,1.93e-17
0.38265011736320279855,147.73419175782816177,3.11e-17
0.28204898432259125037,148.86086751232570561,2.83e-17
