source_filename,source_sha256,line,column,observed_name,role_candidate
00_CONTINUE_HERE.md,f744aab6e9891994e9a34024b3faeca26a9a2ed4fb0904ed7be3516a680d6f29,3,131,Deligne,unresolved person or eponym; contextual source use not established
00_CONTINUE_HERE.md,f744aab6e9891994e9a34024b3faeca26a9a2ed4fb0904ed7be3516a680d6f29,11,690,Gram,unresolved person or eponym; contextual source use not established
00_CONTINUE_HERE.md,f744aab6e9891994e9a34024b3faeca26a9a2ed4fb0904ed7be3516a680d6f29,98,16,Deligne,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,113,13,Hilbert,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,126,15,Hilbert,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,164,46,Taylor,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,230,25,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,430,52,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,438,28,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,495,25,Hilbert,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,557,12,Gram,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,611,53,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,618,27,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,624,50,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,632,15,Gram,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,667,38,Hankel,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,685,20,Gram,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,759,59,Christoffel,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,769,44,Borel,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,786,4,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,804,10,Fourier,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,805,55,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,808,29,Fourier,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,863,1,Gram,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,892,11,Christoffel,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1026,35,Jacobi,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1037,1,Schur,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1233,45,Gram,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1474,58,Christoffel,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1551,17,Euler,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1582,25,Cauchy,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1582,33,Schwarz,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1631,1,Cauchy,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1631,9,Schwarz,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,1771,64,Hankel,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,2000,46,Cauchy,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,2001,16,Stieltjes,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,2006,44,Tonelli,unresolved person or eponym; contextual source use not established
02_FULL_GAMMA_PROOFS.tex,c226f7110ed7929b62c17b43bc6759d089a72e766fca387ebffcde80723a3c08,2086,12,Cauchy,unresolved person or eponym; contextual source use not established
